Table Name,State Code,District Code,Area Name,Total/Rural/Urban,Educational Level,Non-Workers - Persons,Non-Workers - Males,Non-Workers - Females,Main Activity Students - Persons,Main Activity Students - Males,Main Activity Students - Females,Main Activity Household Duties - Persons,Main Activity Household Duties - Males,Main Activity Household Duties - Females,Main Activity Dependents - Persons,Main Activity Dependents - Males,Main Activity Dependents - Females,Main Activity Pensioners - Persons,Main Activity Pensioners - Males,Main Activity Pensioners - Females,Main Activity Rentiers - Persons,Main Activity Rentiers - Males,Main Activity Rentiers - Females,"Main Activity Beggars, Vagrants etc. - Persons","Main Activity Beggars, Vagrants etc. - Males","Main Activity Beggars, Vagrants etc. - Females",Main Activity Others - Persons,Main Activity Others - Males,Main Activity Others - Females
B0515,2,0,State - Himachal Pradesh,Rural,Technical Degree or Diploma equal to Degree or Post-Graduate Degree,15942,7744,8198,6838,3854,2984,1968,129,1839,265,156,109,1577,1348,229,6,4,2,0,0,0,5288,2253,3035
B0515,2,0,State - Himachal Pradesh,Urban,Total,418514,164513,254001,190242,101879,88363,105819,2934,102885,63061,31028,32033,21696,13912,7784,922,459,463,338,207,131,36436,14094,22342
B0515,2,0,State - Himachal Pradesh,Urban,Illiterate,95794,40851,54943,21629,11633,9996,15364,580,14784,53719,26856,26863,2366,697,1669,204,63,141,270,158,112,2242,864,1378
B0515,2,0,State - Himachal Pradesh,Urban,Literate,322720,123662,199058,168613,90246,78367,90455,2354,88101,9342,4172,5170,19330,13215,6115,718,396,322,68,49,19,34194,13230,20964
B0515,2,0,State - Himachal Pradesh,Urban,Literate but below Matric/Secondary,143239,62997,80242,99593,55273,44320,29131,860,28271,4707,2008,2699,3645,1974,1671,278,127,151,40,28,12,5845,2727,3118
B0515,2,0,State - Himachal Pradesh,Urban,Matric/Secondary but below Graduate,114414,40129,74285,53068,27589,25479,38677,890,37787,2603,1262,1341,7161,5115,2046,266,157,109,13,10,3,12626,5106,7520
B0515,2,0,State - Himachal Pradesh,Urban,Technical Diploma or Certificate not equal to Degree,5131,2753,2378,2105,1346,759,567,30,537,90,55,35,1366,739,627,18,10,8,0,0,0,985,573,412
B0515,2,0,State - Himachal Pradesh,Urban,Graduate and above other than Technical Degree,45111,12477,32634,9467,3782,5685,17567,419,17148,1028,430,598,5486,4287,1199,121,83,38,9,6,3,11433,3470,7963
B0515,2,0,State - Himachal Pradesh,Urban,Technical Degree or Diploma equal to Degree or Post-Graduate Degree,8686,3539,5147,3149,1563,1586,1651,69,1582,177,96,81,1250,852,398,11,7,4,1,1,0,2447,951,1496
B0515,3,0,State - Punjab,Total,Total,17845976,6565308,11280668,6775511,3722633,3052878,5895580,234543,5661037,3531043,1751972,1779071,508613,290922,217691,16338,8254,8084,7224,4706,2518,1111667,552278,559389
B0515,3,0,State - Punjab,Total,Illiterate,6482877,2324090,4158787,1058213,578341,479872,1999078,83772,1915306,2959900,1484576,1475324,220148,78010,142138,6219,2862,3357,5869,3661,2208,233450,92868,140582
B0515,3,0,State - Punjab,Total,Literate,11363099,4241218,7121881,5717298,3144292,2573006,3896502,150771,3745731,571143,267396,303747,288465,212912,75553,10119,5392,4727,1355,1045,310,878217,459410,418807
B0515,3,0,State - Punjab,Total,Literate but below Matric/Secondary,6592162,2748618,3843544,4092566,2306944,1785622,1794851,72351,1722500,316932,154677,162255,84410,55349,29061,4886,2370,2516,905,717,188,297612,156210,141402
B0515,3,0,State - Punjab,Total,Matric/Secondary but below Graduate,3472912,1110436,2362476,1291647,674590,617057,1524299,57399,1466900,160713,73167,87546,106474,89863,16611,3582,2115,1467,246,184,62,385951,213118,172833
B0515,3,0,State - Punjab,Total,Technical Diploma or Certificate not equal to Degree,127525,66882,60643,61468,38885,22583,18980,1366,17614,4174,2387,1787,22834,11913,10921,124,79,45,4,3,1,19941,12249,7692
B0515,3,0,State - Punjab,Total,Graduate and above other than Technical Degree,666200,150188,516012,133297,52795,80502,347862,9253,338609,31564,9303,22261,47192,38185,9007,959,541,418,40,24,16,105286,40087,65199
B0515,3,0,State - Punjab,Total,Technical Degree or Diploma equal to Degree or Post-Graduate Degree,173133,65141,107992,80608,38106,42502,41615,1616,39999,5459,2067,3392,13366,9508,3858,116,72,44,3,2,1,31966,13770,18196
B0515,3,0,State - Punjab,Rural,Total,11164993,4097657,7067336,4188728,2305256,1883472,3695534,156159,3539375,2256853,1141350,1115503,325631,170704,154927,8377,4574,3803,2676,1671,1005,687194,317943,369251
B0515,3,0,State - Punjab,Rural,Illiterate,4417125,1531475,2885650,643658,352844,290814,1443271,58909,1384362,1970187,989939,980248,188195,66554,121641,3936,2048,1888,2181,1301,880,165697,59880,105817
B0515,3,0,State - Punjab,Rural,Literate,6747868,2566182,4181686,3545070,1952412,1592658,2252263,97250,2155013,286666,151411,135255,137436,104150,33286,4441,2526,1915,495,370,125,521497,258063,263434
B0515,3,0,State - Punjab,Rural,Literate but below Matric/Secondary,4328867,1788428,2540439,2672288,1506834,1165454,1218733,51236,1167497,176942,93939,83003,56830,38109,18721,2438,1251,1187,338,257,81,201298,96802,104496
B0515,3,0,State - Punjab,Rural,Matric/Secondary but below Graduate,1926558,622478,1304080,725695,375860,349835,836952,36411,800541,70293,37473,32820,53171,46995,6176,1509,978,531,80,61,19,238858,124700,114158
B0515,3,0,State - Punjab,Rural,Technical Diploma or Certificate not equal to Degree,60812,32500,28312,33608,20188,13420,7507,680,6827,1432,889,543,7320,4485,2835,27,17,10,3,2,1,10915,6239,4676
B0515,3,0,State - Punjab,Rural,Graduate and above other than Technical Degree,179095,42971,136124,51456,17954,33502,76300,2712,73588,5743,2379,3364,8637,7640,997,220,147,73,11,8,3,36728,12131,24597
B0515,3,0,State - Punjab,Rural,Technical Degree or Diploma equal to Degree or Post-Graduate Degree,49928,18186,31742,26167,11102,15065,9270,459,8811,1163,494,669,2379,1951,428,25,17,8,1,0,1,10923,4163,6760
B0515,3,0,State - Punjab,Urban,Total,6680983,2467651,4213332,2586783,1417377,1169406,2200046,78384,2121662,1274190,610622,663568,182982,120218,62764,7961,3680,4281,4548,3035,1513,424473,234335,190138
B0515,3,0,State - Punjab,Urban,Illiterate,2065752,792615,1273137,414555,225497,189058,555807,24863,530944,989713,494637,495076,31953,11456,20497,2283,814,1469,3688,2360,1328,67753,32988,34765
